hour_of_day,avg_temp
0,26.513269230769232
1,25.744705882352946
2,26.135909090909085
3,24.93977272727273
4,24.99648648648649
5,23.94849056603773
6,25.32945945945946
7,25.875609756097557
8,24.397692307692303
9,26.04822222222223
10,23.95971428571429
11,23.809499999999996
12,23.756666666666664
13,24.578620689655175
14,24.3874
15,25.672380952380948
16,25.11936170212766
17,24.441538461538464
18,24.911190476190477
19,25.42578947368421
20,25.50379310344828
21,23.669999999999998
22,25.914999999999996
23,24.924255319148934
